Cycle 	Algorithm (optimal length) 	Case Name
(URB LFU RDB) 	R F2 R' B' R F2 R' B (8 HTM) 	Drop and Catch
(URB LFU BLU) 	L2 D L' U2 L D' L' U2 L' (9 HTM) 	A9
(URB LFU BRD) 	R' B L' B' R B L B' (8 HTM) 	Drop and Catch
(URB LFU BDL) 	U B L' F2 L B' L' F2 L U' (10 HTM) 	Orthogonals
(URB LFU LUB) 	U' F' U B U' F U B' (8 HTM) 	Direct Insert
(URB LFU LBD) 	L2 D' R D L2 D' R' D (8 HTM) 	Drop and Catch
(URB LFU LDF) 	L F' R2 F L' F' R2 F (8 HTM) 	Drop and Catch
(URB LFU DFL) 	F' D' B2 D F D' B2 D (8 HTM) 	Drop and Catch
(URB LFU DRF) 	R2 B L' B' R2 B L B' (8 HTM) 	Drop and Catch
(URB LFU DLB) 	D F' D' B2 D F D' B2 (8 HTM) 	Drop and Catch
(URB LFU DBR) 	D2 F' D' B2 D F D' B2 D' (9 HTM) 	A9
(URB LBD UBL) 	U R D' R' U' R D R' (8 HTM) 	Drop and Catch
(URB LBD ULF) 	U2 R D' R' U2 R D R' (8 HTM) 	Drop and Catch
(URB LBD UFR) 	U' R D' R' U R D R' (8 HTM) 	Drop and Catch
(URB LBD FUL) 	U B R2 B' L' B R2 B' L U' (10 HTM) 	Orthogonals
(URB LBD FRU) 	U L2 U' R' U L2 U' R (8 HTM) 	Drop and Catch
(URB LBD FLD) 	D L' U2 L D' L' U2 L (8 HTM) 	Toss Up
(URB LBD FDR) 	U R F' L2 F R' F' L2 F U' (10 HTM) 	Orthogonals
(URB LBD RUF) 	F2 L' F' R2 F L F' R2 F' (9 HTM) 	A9
(URB LBD RFD) 	D2 F' U F D2 F' U' F (8 HTM) 	Toss Up
(URB LBD RDB) 	R' B2 R' F' R B2 R' F R2 (9 HTM) 	A9
(URB LBD BLU) 	D' R B2 R' D R D' B2 D R' (10 HTM) 	Cyclic Shift
(URB LBD BRD) 	D' B U B' D B U' B' (8 HTM) 	Direct Insert
(URB LBD LUB) 	D' R D L' D' R' D L (8 HTM) 	Drop and Catch
(URB LBD LFU) 	D' R D L2 D' R' D L2 (8 HTM) 	Drop and Catch
(URB LBD LDF) 	D' R D L D' R' D L' (8 HTM) 	Drop and Catch
(URB LBD DFL) 	F' D2 F' U F D2 F' U' F2 (9 HTM) 	A9
(URB LBD DRF) 	F L' F' R2 F L F' R2 (8 HTM) 	Drop and Catch
(URB LBD DBR) 	D2 F D' B2 D F' D' B2 D' (9 HTM) 	A9
(URB LDF UBL) 	U B' D2 B U' B' D2 B (8 HTM) 	Drop and Catch
(URB LDF ULF) 	U2 B' D2 B U2 B' D2 B (8 HTM) 	Drop and Catch
(URB LDF UFR) 	U' B' D2 B U B' D2 B (8 HTM) 	Drop and Catch
(URB LDF FUL) 	D2 B' D' F2 D B D' F2 D' (9 HTM) 	A9
(URB LDF FRU) 	U L' U' R' U L U' R (8 HTM) 	Drop and Catch
